--- ptr=0x020bee98                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020beec8                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020beef8                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020bef28                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020bef58                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020bef88                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003be028                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01e3ab48                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c1ed8                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c1f08                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c1f38                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020d9598                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01e3ad08                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020da950                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020dafc0                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c1f68                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020daff0                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c1f98                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c7d88                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c7e18                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0212d0a0                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c7ea8                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c7ef0                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
